,disease,occurrences,symptoms
31,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0917801_sleeplessness
32,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0424230_motor  retardation
33,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0022107_irritable  mood
34,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0312422_blackout
35,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0344315_mood  depressed
36,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0233763_hallucinations  visual
37,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0233481_worry
38,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0085631_agitation
39,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0040822_tremor
40,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0728899_intoxication
41,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0424068_verbal  auditory hallucinations
42,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0455769_energy  increased
43,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C1299586_difficulty
44,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0028084_nightmare
45,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0235198_unable  to concentrate
46,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0237154_homelessness
47,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0008031_pain  chest
48,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0002962_angina  pectoris
49,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0392680_shortness  of breath
50,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0086439_hypokinesia
51,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0038990_sweat^UMLS:C0700590_sweating  increased
52,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0438716_pressure  chest
53,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0231807_dyspnea  on exertion
54,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0085619_orthopnea
55,UMLS:C0010054_coronary  arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0232292_chest  tightness
56,UMLS:C0032285_pneumonia,1029,UMLS:C0010200_cough
57,UMLS:C0032285_pneumonia,1029,UMLS:C0015967_fever
58,UMLS:C0032285_pneumonia,1029,UMLS:C0029053_decreased  translucency
59,UMLS:C0032285_pneumonia,1029,UMLS:C0392680_shortness  of breath
60,UMLS:C0032285_pneumonia,1029,UMLS:C0034642_rale
61,UMLS:C0032285_pneumonia,1029,UMLS:C0239134_productive  cough
62,UMLS:C0032285_pneumonia,1029,UMLS:C0008033_pleuritic  pain
63,UMLS:C0032285_pneumonia,1029,UMLS:C0457096_yellow  sputum
64,UMLS:C0032285_pneumonia,1029,UMLS:C0238844_breath  sounds decreased
65,UMLS:C0032285_pneumonia,1029,UMLS:C0085593_chill
66,UMLS:C0032285_pneumonia,1029,UMLS:C0035508_rhonchus
67,UMLS:C0032285_pneumonia,1029,UMLS:C0457097_green  sputum
68,UMLS:C0032285_pneumonia,1029,UMLS:C0850149_non-productive  cough
69,UMLS:C0032285_pneumonia,1029,UMLS:C0043144_wheezing
70,UMLS:C0032285_pneumonia,1029,UMLS:C0019079_haemoptysis
71,UMLS:C0032285_pneumonia,1029,UMLS:C0476273_distress  respiratory
72,UMLS:C0032285_pneumonia,1029,UMLS:C0231835_tachypnea
73,UMLS:C0032285_pneumonia,1029,UMLS:C0231218_malaise
74,UMLS:C0032285_pneumonia,1029,UMLS:C0028081_night  sweat
75,UMLS:C0018802_failure  heart congestive,963,UMLS:C0392680_shortness  of breath
76,UMLS:C0018802_failure  heart congestive,963,UMLS:C0085619_orthopnea
77,UMLS:C0018802_failure  heart congestive,963,UMLS:C0240100_jugular  venous distention
78,UMLS:C0018802_failure  heart congestive,963,UMLS:C0034642_rale
79,UMLS:C0018802_failure  heart congestive,963,UMLS:C0013404_dyspnea
80,UMLS:C0018802_failure  heart congestive,963,UMLS:C0010200_cough
81,UMLS:C0018802_failure  heart congestive,963,UMLS:C0043144_wheezing
82,UMLS:C0038454_accident  cerebrovascular,885,UMLS:C0013362_dysarthria
83,UMLS:C0038454_accident  cerebrovascular,885,UMLS:C0004093_asthenia
84,UMLS:C0038454_accident  cerebrovascular,885,UMLS:C0234518_speech  slurred
85,UMLS:C0038454_accident  cerebrovascular,885,UMLS:C0427055_facial  paresis
86,UMLS:C0038454_accident  cerebrovascular,885,UMLS:C0018991_hemiplegia
87,UMLS:C0038454_accident  cerebrovascular,885,UMLS:C0241526_unresponsiveness
88,UMLS:C0038454_accident  cerebrovascular,885,UMLS:C0036572_seizure
89,UMLS:C0038454_accident  cerebrovascular,885,UMLS:C0028643_numbness
90,UMLS:C0004096_asthma,835,UMLS:C0043144_wheezing
91,UMLS:C0004096_asthma,835,UMLS:C0010200_cough
92,UMLS:C0004096_asthma,835,UMLS:C0392680_shortness  of breath
93,UMLS:C0004096_asthma,835,UMLS:C0232292_chest  tightness
94,UMLS:C0004096_asthma,835,UMLS:C0850149_non-productive  cough
95,UMLS:C0004096_asthma,835,UMLS:C0008033_pleuritic  pain
96,UMLS:C0004096_asthma,835,UMLS:C0239134_productive  cough
97,UMLS:C0004096_asthma,835,UMLS:C0436331_symptom  aggravating factors
98,UMLS:C0004096_asthma,835,UMLS:C0476273_distress  respiratory
99,UMLS:C0027051_myocardial  infarction,759,UMLS:C0008031_pain chest
100,UMLS:C0027051_myocardial  infarction,759,UMLS:C0520886_st segment elevation
101,UMLS:C0027051_myocardial  infarction,759,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased
102,UMLS:C0027051_myocardial  infarction,759,UMLS:C0392680_shortness of breath
103,UMLS:C0027051_myocardial  infarction,759,UMLS:C0520887_st segment depression
104,UMLS:C0027051_myocardial  infarction,759,UMLS:C0086439_hypokinesia
105,UMLS:C0027051_myocardial  infarction,759,UMLS:C0002962_angina pectoris
106,UMLS:C0027051_myocardial  infarction,759,UMLS:C0438716_pressure chest
107,UMLS:C0027051_myocardial  infarction,759,UMLS:C0520888_t wave inverted
108,UMLS:C0027051_myocardial  infarction,759,UMLS:C0085619_orthopnea
109,UMLS:C0027051_myocardial  infarction,759,UMLS:C0034642_rale
110,UMLS:C0027051_myocardial  infarction,759,UMLS:C0232292_chest tightness
111,UMLS:C0027051_myocardial  infarction,759,UMLS:C1305739_presence of q wave
112,UMLS:C0027051_myocardial  infarction,759,UMLS:C0030252_palpitation
113,UMLS:C0027051_myocardial  infarction,759,UMLS:C0013404_dyspnea
114,UMLS:C0027051_myocardial  infarction,759,UMLS:C0235710_chest discomfort
115,UMLS:C0027051_myocardial  infarction,759,UMLS:C0428977_bradycardia
116,UMLS:C0027051_myocardial  infarction,759,UMLS:C0039070_syncope
117,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0030193_pain
118,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0008031_pain chest
119,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased
120,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0337672_nonsmoker
121,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0438716_pressure chest
122,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0039070_syncope
123,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0028643_numbness
124,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0235710_chest discomfort
125,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0392680_shortness of breath
126,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0520887_st segment depression
127,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0233481_worry
128,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0520888_t wave inverted
129,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0428977_bradycardia
130,UMLS:C0020443_hypercholesterolemia,685,UMLS:C0013404_dyspnea
131,UMLS:C0021311_infection,630,UMLS:C0015967_fever
132,UMLS:C0021311_infection,630,UMLS:C0041834_erythema
133,UMLS:C0021311_infection,630,UMLS:C0029053_decreased translucency
134,UMLS:C0021311_infection,630,UMLS:C0019214_hepatosplenomegaly
135,UMLS:C0021311_infection,630,UMLS:C0085593_chill
136,UMLS:C0021311_infection,630,UMLS:C0033774_pruritus
137,UMLS:C0021311_infection,630,UMLS:C0011991_diarrhea
138,UMLS:C0021311_infection,630,UMLS:C0549483_abscess bacterial
139,UMLS:C0021311_infection,630,UMLS:C0038999_swelling
140,UMLS:C0021311_infection,630,UMLS:C0030193_pain
141,UMLS:C0021311_infection,630,UMLS:C0277797_apyrexial
142,UMLS:C0021311_infection,630,UMLS:C0010200_cough
143,UMLS:C0042029_infection  urinary tract,597,UMLS:C0015967_fever
144,UMLS:C0042029_infection  urinary tract,597,UMLS:C0013428_dysuria
145,UMLS:C0042029_infection  urinary tract,597,UMLS:C0018965_hematuria
146,UMLS:C0042029_infection  urinary tract,597,UMLS:C0235634_renal angle tenderness
147,UMLS:C0042029_infection  urinary tract,597,UMLS:C0023380_lethargy
148,UMLS:C0042029_infection  urinary tract,597,UMLS:C0004093_asthenia
149,UMLS:C0042029_infection  urinary tract,597,UMLS:C0020625_hyponatremia
150,UMLS:C0042029_infection  urinary tract,597,UMLS:C0578150_hemodynamically stable
151,UMLS:C0042029_infection  urinary tract,597,UMLS:C0476273_distress respiratory
152,UMLS:C0042029_infection  urinary tract,597,UMLS:C0241705_difficulty passing urine
153,UMLS:C0042029_infection  urinary tract,597,UMLS:C0856054_mental status changes
154,UMLS:C0042029_infection  urinary tract,597,UMLS:C0239110_consciousness clear
155,UMLS:C0002871_anemia,544,UMLS:C0085593_chill
156,UMLS:C0002871_anemia,544,UMLS:C0744492_guaiac positive
157,UMLS:C0002871_anemia,544,UMLS:C0746619_monoclonal
158,UMLS:C0002871_anemia,544,UMLS:C0013491_ecchymosis
159,UMLS:C0002871_anemia,544,UMLS:C1269955_tumor cell invasion
160,UMLS:C0002871_anemia,544,UMLS:C0019080_haemorrhage
161,UMLS:C0002871_anemia,544,UMLS:C0030232_pallor
162,UMLS:C0002871_anemia,544,UMLS:C0004093_asthenia
163,UMLS:C0002871_anemia,544,UMLS:C0015672_fatigue
164,UMLS:C0002871_anemia,544,UMLS:C0744740_heme positive
165,UMLS:C0002871_anemia,544,UMLS:C0004604_pain back
166,UMLS:C0002871_anemia,544,UMLS:C0149746_orthostasis
167,UMLS:C0002871_anemia,544,UMLS:C0020625_hyponatremia
168,UMLS:C0002871_anemia,544,UMLS:C0012833_dizziness
169,UMLS:C0002871_anemia,544,UMLS:C0392680_shortness of breath
170,UMLS:C0002871_anemia,544,UMLS:C0030193_pain
171,UMLS:C0002871_anemia,544,UMLS:C0035508_rhonchus
172,UMLS:C0002871_anemia,544,UMLS:C0003862_arthralgia
173,UMLS:C0002871_anemia,544,UMLS:C0038999_swelling
174,UMLS:C0002871_anemia,544,UMLS:C1096646_transaminitis
175,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0392680_shortness of breath
176,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0043144_wheezing
177,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0010200_cough
178,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0013404_dyspnea
179,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0476273_distress respiratory
180,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0241235_sputum purulent
181,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0700292_hypoxemia
182,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0020440_hypercapnia
183,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0376405_patient non compliance
184,UMLS:C0024117_chronic  obstructive airway disease,524,UMLS:C0232292_chest tightness
185,UMLS:C0497327_dementia,504,UMLS:C0015967_fever
186,UMLS:C0497327_dementia,504,UMLS:C0085639_fall
187,UMLS:C0497327_dementia,504,UMLS:C0241526_unresponsiveness
188,UMLS:C0497327_dementia,504,UMLS:C0023380_lethargy
189,UMLS:C0497327_dementia,504,UMLS:C0085631_agitation
190,UMLS:C0497327_dementia,504,UMLS:C0013491_ecchymosis
191,UMLS:C0497327_dementia,504,UMLS:C0039070_syncope
192,UMLS:C0497327_dementia,504,UMLS:C0034642_rale
193,UMLS:C0497327_dementia,504,UMLS:C0041657_unconscious state
194,UMLS:C0497327_dementia,504,UMLS:C0010200_cough
195,UMLS:C0497327_dementia,504,UMLS:C0425251_bedridden^UMLS:C0741453_bedridden
196,UMLS:C0497327_dementia,504,UMLS:C0030193_pain
197,UMLS:C0497327_dementia,504,UMLS:C0427055_facial paresis
198,UMLS:C0497327_dementia,504,UMLS:C0232498_abdominal tenderness
199,UMLS:C0497327_dementia,504,UMLS:C0035508_rhonchus
200,UMLS:C0497327_dementia,504,UMLS:C1273573_unsteady gait
201,UMLS:C0497327_dementia,504,UMLS:C0233762_hallucinations auditory
202,UMLS:C1565489_insufficiency  renal,445,UMLS:C0392680_shortness of breath
203,UMLS:C1565489_insufficiency  renal,445,UMLS:C0020461_hyperkalemia
204,UMLS:C1565489_insufficiency  renal,445,UMLS:C0085619_orthopnea
205,UMLS:C1565489_insufficiency  renal,445,UMLS:C0034642_rale
206,UMLS:C1565489_insufficiency  renal,445,UMLS:C0085606_urgency of micturition
207,UMLS:C1565489_insufficiency  renal,445,UMLS:C0003962_ascites
208,UMLS:C1565489_insufficiency  renal,445,UMLS:C0744492_guaiac positive
209,UMLS:C1565489_insufficiency  renal,445,UMLS:C0004093_asthenia
210,UMLS:C1565489_insufficiency  renal,445,UMLS:C0277797_apyrexial
211,UMLS:C1565489_insufficiency  renal,445,UMLS:C0856054_mental status changes
212,UMLS:C1565489_insufficiency  renal,445,UMLS:C0013404_dyspnea
213,UMLS:C1565489_insufficiency  renal,445,UMLS:C1299586_difficulty
214,UMLS:C1565489_insufficiency  renal,445,UMLS:C0011991_diarrhea
215,UMLS:C1565489_insufficiency  renal,445,UMLS:C0020649_hypotension
216,UMLS:C1565489_insufficiency  renal,445,UMLS:C0238844_breath sounds decreased
217,UMLS:C1565489_insufficiency  renal,445,UMLS:C0038999_swelling
218,UMLS:C1565489_insufficiency  renal,445,UMLS:C0086439_hypokinesia
219,UMLS:C0009676_confusion,408,UMLS:C0036572_seizure
220,UMLS:C0009676_confusion,408,UMLS:C0014394_enuresis
221,UMLS:C0009676_confusion,408,UMLS:C0023380_lethargy
222,UMLS:C0009676_confusion,408,UMLS:C0234518_speech slurred
223,UMLS:C0009676_confusion,408,UMLS:C0085639_fall
224,UMLS:C0009676_confusion,408,UMLS:C0239110_consciousness clear
225,UMLS:C0009676_confusion,408,UMLS:C0856054_mental status changes
226,UMLS:C0009676_confusion,408,UMLS:C0232766_asterixis
227,UMLS:C0009676_confusion,408,UMLS:C0041657_unconscious state
228,UMLS:C0009676_confusion,408,UMLS:C0085631_agitation
229,UMLS:C0009676_confusion,408,UMLS:C0231530_muscle twitch
230,UMLS:C0009676_confusion,408,UMLS:C0004093_asthenia
231,UMLS:C0009676_confusion,408,UMLS:C0234450_sleepy
232,UMLS:C0009676_confusion,408,UMLS:C0012833_dizziness
233,UMLS:C0009676_confusion,408,UMLS:C0018681_headache
234,UMLS:C0009676_confusion,408,UMLS:C0013362_dysarthria
235,UMLS:C0009676_confusion,408,UMLS:C0220870_lightheadedness
236,UMLS:C0009676_confusion,408,UMLS:C0040822_tremor
237,UMLS:C0009676_confusion,408,UMLS:C0020625_hyponatremia
238,UMLS:C0009676_confusion,408,UMLS:C0241526_unresponsiveness
239,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0030193_pain
240,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0149696_food  intolerance
241,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0239832_numbness  of hand
242,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0858924_general  discomfort
243,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0013144_drowsiness
244,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0004093_asthenia
245,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0337672_nonsmoker
246,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0850149_non-productive  cough
247,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0085602_polydypsia
248,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C0427008_stiffness
249,UMLS:C0029408_degenerative  polyarthritis,405,UMLS:C1273573_unsteady  gait
250,UMLS:C0020676_hypothyroidism,398,UMLS:C0392680_shortness of breath
251,UMLS:C0020676_hypothyroidism,398,UMLS:C0242453_prostatism
252,UMLS:C0020676_hypothyroidism,398,UMLS:C0013144_drowsiness^UMLS:C0234450_sleepy
253,UMLS:C0020676_hypothyroidism,398,UMLS:C0020625_hyponatremia
254,UMLS:C0020676_hypothyroidism,398,UMLS:C0085639_fall
255,UMLS:C0020676_hypothyroidism,398,UMLS:C1273573_unsteady gait
256,UMLS:C0020676_hypothyroidism,398,UMLS:C0032617_polyuria
257,UMLS:C0020676_hypothyroidism,398,UMLS:C0020649_hypotension
258,UMLS:C0020676_hypothyroidism,398,UMLS:C1299586_difficulty
259,UMLS:C0020676_hypothyroidism,398,UMLS:C0039070_syncope
260,UMLS:C0020676_hypothyroidism,398,UMLS:C0028084_nightmare
261,UMLS:C0020676_hypothyroidism,398,UMLS:C0234518_speech slurred
262,UMLS:C0020676_hypothyroidism,398,UMLS:C0043094_weight gain
263,UMLS:C0020676_hypothyroidism,398,UMLS:C0004093_asthenia
264,UMLS:C0020676_hypothyroidism,398,UMLS:C0015672_fatigue^UMLS:C0557875_tired
265,UMLS:C0020676_hypothyroidism,398,UMLS:C0085631_agitation
266,UMLS:C0020676_hypothyroidism,398,UMLS:C0856054_mental status changes
267,UMLS:C0020676_hypothyroidism,398,UMLS:C0424230_motor retardation
268,UMLS:C0020676_hypothyroidism,398,UMLS:C0042963_vomiting
269,UMLS:C0020676_hypothyroidism,398,UMLS:C0028643_numbness
270,UMLS:C0020676_hypothyroidism,398,UMLS:C0577559_mass of body structure
271,UMLS:C0700613_anxiety  state,390,UMLS:C0233481_worry
272,UMLS:C0700613_anxiety  state,390,UMLS:C0424000_feeling suicidal
273,UMLS:C0700613_anxiety  state,390,UMLS:C0438696_suicidal
274,UMLS:C0700613_anxiety  state,390,UMLS:C0917801_sleeplessness
275,UMLS:C0700613_anxiety  state,390,UMLS:C0150041_feeling hopeless
276,UMLS:C0700613_anxiety  state,390,UMLS:C0022107_irritable mood
277,UMLS:C0700613_anxiety  state,390,UMLS:C0040822_tremor
278,UMLS:C0700613_anxiety  state,390,UMLS:C0312422_blackout
279,UMLS:C0700613_anxiety  state,390,UMLS:C0424109_weepiness
280,UMLS:C0700613_anxiety  state,390,UMLS:C0557075_has religious belief
281,UMLS:C0700613_anxiety  state,390,UMLS:C0027769_nervousness
282,UMLS:C0700613_anxiety  state,390,UMLS:C0233763_hallucinations visual
283,UMLS:C0700613_anxiety  state,390,UMLS:C0016579_formication
284,UMLS:C0700613_anxiety  state,390,UMLS:C1299586_difficulty
285,UMLS:C0700613_anxiety  state,390,UMLS:C0008031_pain chest
286,UMLS:C0700613_anxiety  state,390,UMLS:C0376405_patient non compliance
287,UMLS:C0700613_anxiety  state,390,UMLS:C0085631_agitation
288,UMLS:C0700613_anxiety  state,390,UMLS:C0030252_palpitation
289,UMLS:C0700613_anxiety  state,390,UMLS:C0233762_hallucinations auditory
290,UMLS:C0700613_anxiety  state,390,UMLS:C0344315_mood depressed
291,UMLS:C0700613_anxiety  state,390,UMLS:C0600142_hot flush
292,UMLS:C0700613_anxiety  state,390,UMLS:C0030193_pain
293,UMLS:C0700613_anxiety  state,390,UMLS:C0239110_consciousness clear
294,UMLS:C0700613_anxiety  state,390,UMLS:C0028084_nightmare
295,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0030193_pain
296,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0577559_mass of body structure
297,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0221198_lesion
298,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0332601_cushingoid facies^UMLS:C0878661_cushingoid habitus
299,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0743482_emphysematous change
300,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0043096_decreased body weight
301,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0003962_ascites
302,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0019825_hoarseness
303,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0205400_thicken
304,UMLS:C0006826_malignant  neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0018965_hematuria
305,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0015967_fever
306,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0028081_night sweat
307,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0233308_spontaneous rupture of membranes
308,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0010200_cough
309,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0032739_
310,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0043096_decreased body weight
311,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0085593_chill
312,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0011991_diarrhea
313,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0008033_pleuritic pain
314,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0376405_patient non compliance
315,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0231835_tachypnea
316,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0239134_productive cough
317,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0026827_muscle hypotonia^UMLS:C0241938_hypotonic
318,UMLS:C0001175_acquired  immuno-deficiency  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0424000_feeling suicidal
319,UMLS:C0007642_cellulitis,341,UMLS:C0041834_erythema
320,UMLS:C0007642_cellulitis,341,UMLS:C0030193_pain
321,UMLS:C0007642_cellulitis,341,UMLS:C0038999_swelling
322,UMLS:C0007642_cellulitis,341,UMLS:C0332575_redness
323,UMLS:C0007642_cellulitis,341,UMLS:C0015967_fever
324,UMLS:C0007642_cellulitis,341,UMLS:C0549483_abscess bacterial
325,UMLS:C0007642_cellulitis,341,UMLS:C0376405_patient non compliance
326,UMLS:C0007642_cellulitis,341,UMLS:C0020580_hypesthesia
327,UMLS:C0007642_cellulitis,341,UMLS:C0034880_hyperacusis
328,UMLS:C0007642_cellulitis,341,UMLS:C0033774_pruritus
329,UMLS:C0007642_cellulitis,341,UMLS:C0008031_pain chest
330,UMLS:C0007642_cellulitis,341,UMLS:C1384489_scratch marks
331,UMLS:C0007642_cellulitis,341,UMLS:C0085593_chill
332,UMLS:C0007642_cellulitis,341,UMLS:C0234233_sore to touch
333,UMLS:C0017168_gastroesophageal  reflux disease,325,UMLS:C0030193_pain
